aced	1,9,43
acerbic	1,9,59,3,10,9
acerbity	1,9,59,3,48,61
aces	1,9,17,14
acetate	1,9,17,30,1,30,17
acetates	1,9,17,30,1,30,17,14
acetic	1,9,17,30,10,9
acetone	1,9,17,30,16,21
acetylene	1,9,17,30,61,7,34,17
ache	1,33,17
ached	1,33,43
aches	1,33,17,14
achier	1,33,10,59
achiest	1,33,10,17,12
achievable	1,33,10,17,39,1,3,7,17
achieve	1,33,10,17,39,17
achieved	1,33,10,17,39,43
achiever	1,33,10,17,39,59
achievers	1,33,10,17,39,59,14
achieves	1,33,10,17,39,17,14
achieving	1,33,10,17,39,44
aching	1,33,44
achoo	1,33,21,21
achromatic	1,33,23,21,13,1,30,10,9
achy	1,33,61
acid	1,9,10,25
acidic	1,9,10,25,10,9
acidified	1,9,10,25,10,11,10,43
acidifies	1,9,10,25,10,11,10,17,14
acidify	1,9,10,25,10,11,61
acidifying	1,9,10,25,10,11,61,44
acidity	1,9,10,25,48,61
acidly	1,9,10,25,7,61
acids	1,9,10,25,14
acidulous	1,9,10,25,37,7,51,14
acing	1,9,44
acme	1,9,13,17
acmes	1,9,13,17,14
acne	1,9,29,17
acolyte	1,9,21,7,61,30,17
acolytes	1,9,21,7,61,30,17,14
aconite	1,9,21,29,10,30,17
aconites	1,9,21,29,10,30,17,14
acorn	1,9,21,23,29
acorns	1,9,21,23,29,14
acoustic	1,9,51,12,10,9
acoustical	1,9,51,12,10,9,1,7
acoustics	1,9,51,12,10,9,14
acquaint	1,9,31,37,1,20,30
acquainted	1,9,31,37,1,20,30,43
acquaints	1,9,31,37,1,20,30,14
acquiesce	1,9,31,37,10,17,14,9,17
acquiesced	1,9,31,37,10,17,14,9,43
acquiesces	1,9,31,37,10,17,14,9,17,14
acquirable	1,9,31,37,10,23,1,3,7,17
acquire	1,9,31,37,10,23,17
acquired	1,9,31,37,10,23,43
acquires	1,9,31,37,10,23,17,14
acquiring	1,9,31,37,10,23,44
acquit	1,9,31,37,10,30
acquits	1,9,31,37,10,30,14
acquittal	1,9,31,37,10,30,30,1,7
acquittals	1,9,31,37,10,30,30,1,7,14
acquitted	1,9,31,37,10,30,30,43
acquitting	1,9,31,37,10,30,30,44
acre	1,9,23,17
